Filename,chapterTimes_module,chapterTimes_totalLength,chapter_begin,chapter_title
chaptertimes_FOSS_TPV_IP_2-1.xml,Insects and Plants (3rd Ed.),0:08:15,0:00:00,"Insects and Plants - Inv. 2, Part 1"
chaptertimes_FOSS_TPV_IP_2-2.xml,Insects and Plants (3rd Ed.),0:06:18,0:00:00,"Insects and Plants - Inv. 2, Part 2"
chaptertimes_FOSS_TPV_IP_2-3.xml,Insects and Plants (3rd Ed.),0:06:05,0:00:00,"Insects and Plants - Inv. 2, Part 3"
chaptertimes_FOSS_TPV_IP_2-4.xml,Insects and Plants (3rd Ed.),0:07:19,0:00:00,"Insects and Plants - Inv. 2, Part 4"
chaptertimes_FOSS_TPV_IP_3-1.xml,Insects and Plants (3rd Ed.),0:04:36,0:00:00,"Insects and Plants - Inv. 3, Part 1"
chaptertimes_FOSS_TPV_IP_3-2.xml,Insects and Plants (3rd Ed.),0:08:47,0:00:00,"Insects and Plants - Inv. 3, Part 2"
chaptertimes_FOSS_TPV_IP_3-3.xml,Insects and Plants (3rd Ed.),0:08:22,0:00:00,"Insects and Plants - Inv. 3, Part 3"
chaptertimes_FOSS_TPV_IP_3-4.xml,Insects and Plants (3rd Ed.),0:06:27,0:00:00,"Insects and Plants - Inv. 3, Part 4"
chaptertimes_FOSS_TPV_IP_4-1.xml,Insects and Plants (3rd Ed.),0:06:46,0:00:00,"Insects and Plants - Inv. 4, Part 1"
chaptertimes_FOSS_TPV_IP_4-2.xml,Insects and Plants (3rd Ed.),0:07:08,0:00:00,"Insects and Plants - Inv. 4, Part 2"
chaptertimes_FOSS_TPV_IP_4-3.xml,Insects and Plants (3rd Ed.),0:06:53,0:00:00,"Insects and Plants - Inv. 4, Part 3"
chaptertimes_FOSS_TPV_IP_4-4.xml,Insects and Plants (3rd Ed.),0:06:26,0:00:00,"Insects and Plants - Inv. 4, Part 4"
chaptertimes_FOSS_TPV_IP_5-1.xml,Insects and Plants (3rd Ed.),0:06:07,0:00:00,"Insects and Plants - Inv. 5, Part 1"
chaptertimes_FOSS_TPV_IP_5-2.xml,Insects and Plants (3rd Ed.),0:03:52,0:00:00,"Insects and Plants - Inv. 5, Part 2"
chaptertimes_FOSS_TPV_IP_5-3.xml,Insects and Plants (3rd Ed.),0:07:06,0:00:00,"Insects and Plants - Inv. 5, Part 3"
chaptertimes_FOSS_TPV_IP_5-4.xml,Insects and Plants (3rd Ed.),0:05:58,0:00:00,"Insects and Plants - Inv. 5, Part 4"
chaptertimes_FOSS_TPV_PA_2-1.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:05:06,0:00:00,"Pebbles, Sand, and Silt - Inv. 2, Part 1"
chaptertimes_FOSS_TPV_PA_2-2.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:05:45,0:00:00,"Pebbles, Sand, and Silt - Inv. 2, Part 2"
chaptertimes_FOSS_TPV_PA_2-3.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:05:01,0:00:00,"Pebbles, Sand, and Silt - Inv. 2, Part 3"
chaptertimes_FOSS_TPV_PA_3-1.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:07:55,0:00:00,"Pebbles, Sand, and Silt - Inv. 2, Part 4"
chaptertimes_FOSS_TPV_PA_3-2.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:07:02,0:00:00,"Pebbles, Sand, and Silt - Inv. 3, Part 1"
chaptertimes_FOSS_TPV_PA_3-3.xml,"Pebbles, Sand, and Silt (3rd Ed.)",0:04:58,0:00:00,"Pebbles, Sand, and Silt - Inv. 3, Part 2"
